,Active,Active_scale,Confirmed,Country_Region,Date,Deaths,FIPS,Hospitalization_Rate,ISO3,Incident_Rate,Last_Update,Lat,Long_,Mortality_Rate,People_Hospitalized,People_Tested,Province_State,Recovered,Testing_Rate,UID,Active_per1000
31,797.0,0.797,814,US,2020-04-13,17,31.0,,USA,53.36753051259054,2020-04-13 23:07:54,41.1254,-98.2681,2.0884520884520885,,10972.0,NE,,719.3471066144267,84000031.0,0.797
32,2876.0,2.876,2990,US,2020-04-13,114,32.0,,USA,99.1150254732245,2020-04-13 23:07:54,38.3135,-117.0554,3.812709030100335,,25464.0,NV,,844.1020095820031,84000032.0,2.876
33,962.0,0.962,985,US,2020-04-13,23,33.0,15.431472081218276,USA,74.16342154639392,2020-04-13 23:07:54,43.4525,-71.5639,2.3350253807106602,152.0,11207.0,NH,239.0,843.8065637263318,84000033.0,0.962
34,62141.0,62.141,64584,US,2020-04-13,2443,34.0,12.047875634832153,USA,727.1179742833693,2020-04-13 23:07:54,40.2989,-74.521,3.7826706304967175,7781.0,129469.0,NJ,,1457.624752454068,84000034.0,62.141
35,1236.0,1.236,1262,US,2020-04-13,26,35.0,6.339144215530904,USA,75.68066119231223,2020-04-13 23:07:54,34.8405,-106.2485,2.060221870047544,80.0,30515.0,NM,295.0,1829.9487926175973,84000035.0,1.236
36,185691.0,185.691,195749,US,2020-04-13,10058,36.0,21.819779411389074,USA,1160.9555172357552,2020-04-13 23:07:54,42.1657,-74.9481,5.138212711176047,42712.0,478357.0,NY,23887.0,2837.057652188998,84000036.0,185.691
37,4792.0,4.792,4886,US,2020-04-13,94,37.0,6.406058125255831,USA,49.264585407660405,2020-04-13 23:07:54,35.6301,-79.8064,1.9238641015145312,313.0,63388.0,NC,,639.1288456448584,84000037.0,4.792
38,323.0,0.323,331,US,2020-04-13,8,38.0,12.084592145015106,USA,54.58281251545964,2020-04-13 23:07:54,47.5289,-99.784,2.416918429003021,40.0,10781.0,ND,127.0,1777.8166215382792,84000038.0,0.323
40,6701.0,6.701,6975,US,2020-04-13,274,39.0,29.14695340501792,USA,62.422475312917825,2020-04-13 23:07:54,40.3888,-82.7649,3.92831541218638,2033.0,65112.0,OH,,582.7171630931477,84000039.0,6.701
41,1970.0,1.97,2069,US,2020-04-13,99,40.0,22.087965200579987,USA,56.566622029432146,2020-04-13 23:07:54,35.5653,-96.9289,4.784920251329145,457.0,22859.0,OK,865.0,624.9668501550457,84000040.0,1.97
42,1531.0,1.531,1584,US,2020-04-13,53,41.0,23.29545454545455,USA,39.530091034006354,2020-04-13 23:07:54,44.572,-122.0709,3.345959595959596,369.0,31121.0,OR,,776.6514918366867,84000041.0,1.531
43,23703.0,23.703,24292,US,2020-04-13,589,42.0,9.233492507821506,USA,192.985150264584,2020-04-13 23:07:54,40.5908,-77.2098,2.4246665568911574,2243.0,129792.0,PA,,1031.1184185386498,84000042.0,23.703
45,2602.0,2.602,2665,US,2020-04-13,63,44.0,12.420262664165106,USA,251.56674636880157,2020-04-13 23:07:54,41.6809,-71.5118,2.363977485928705,331.0,20661.0,RI,135.0,1950.3266591841686,84000044.0,2.602
46,3309.0,3.309,3391,US,2020-04-13,82,45.0,14.626953700973164,USA,67.2820797722211,2020-04-13 23:07:54,33.8569,-80.945,2.4181657328221764,496.0,31425.0,SC,,623.514997594234,84000045.0,3.309
47,862.0,0.862,868,US,2020-04-13,6,46.0,5.0691244239631335,USA,117.95209079593201,2020-04-13 23:07:54,44.2998,-99.4388,0.6912442396313364,44.0,9002.0,SD,207.0,1223.2773287384562,84000046.0,0.862
48,5501.0,5.501,5610,US,2020-04-13,109,47.0,10.320855614973262,USA,85.45408488043054,2020-04-13 23:07:54,35.7478,-86.6923,1.9429590017825311,579.0,76195.0,TN,1671.0,1160.6370761968635,84000047.0,5.501
49,13970.0,13.97,14275,US,2020-04-13,305,48.0,8.238178633975481,USA,62.106907327923295,2020-04-13 23:07:54,31.0545,-97.5635,2.136602451838879,1176.0,133226.0,TX,2269.0,579.6325629190828,84000048.0,13.97
50,2350.0,2.35,2363,US,2020-04-13,13,49.0,8.506136267456624,USA,82.45280161569806,2020-04-13 23:07:54,40.15,-111.8624,0.5501481168006771,201.0,45787.0,UT,218.0,1597.6582427329529,84000049.0,2.35
51,720.0,0.72,748,US,2020-04-13,28,50.0,4.411764705882354,USA,122.50426226393772,2020-04-13 23:07:54,44.0459,-72.7107,3.7433155080213902,33.0,10366.0,VT,15.0,1697.699442016014,84000050.0,0.72
53,5598.0,5.598,5747,US,2020-04-13,149,51.0,21.541673916826173,USA,72.68031915095425,2020-04-13 23:07:54,37.7693,-78.17,2.592657038454846,1238.0,41401.0,VA,,523.5841122618161,84000051.0,5.598
54,10122.0,10.122,10635,US,2020-04-13,513,53.0,4.955336154207805,USA,140.8720663077597,2020-04-13 23:07:54,47.4009,-121.4905,4.823695345557122,527.0,93802.0,WA,,1242.5088447391138,84000053.0,10.122
55,603.0,0.603,611,US,2020-04-13,8,54.0,26.84124386252045,USA,46.18298742704071,2020-04-13 23:07:54,38.4912,-80.9545,1.3093289689034369,164.0,16655.0,WV,85.0,1258.8832333835726,84000054.0,0.603
56,3274.0,3.274,3428,US,2020-04-13,154,55.0,28.96732788798133,USA,66.24703767713304,2020-04-13 23:07:54,44.2685,-89.6165,4.492415402567095,993.0,40197.0,WI,,776.8180202764635,84000055.0,3.274
57,274.0,0.274,275,US,2020-04-13,1,56.0,14.909090909090908,USA,55.30528517416137,2020-04-13 23:07:54,42.756,-107.3025,0.3636363636363637,41.0,5964.0,WY,138.0,1199.4208028316307,84000056.0,0.274
0,3839.0,3.839,3953,US,2020-04-14,114,1.0,12.4715406,USA,84.30554137,2020-04-14 23:33:31,32.3182,-86.9023,2.8838856560000004,493.0,33117.0,AL,,706.2855081,84000001.0,3.839
1,276.0,0.276,285,US,2020-04-14,9,2.0,11.22807018,USA,47.67887525,2020-04-14 23:33:31,61.3707,-152.4044,3.157894737,32.0,8348.0,AK,98.0,1396.572809,84000002.0,0.276
3,3678.0,3.678,3809,US,2020-04-14,131,4.0,15.22709373,USA,52.33065113,2020-04-14 23:33:31,33.7298,-111.4312,3.439222893,580.0,44096.0,AZ,249.0,605.8210534,84000004.0,3.678
4,1466.0,1.466,1498,US,2020-04-14,32,5.0,8.67823765,USA,57.85957427,2020-04-14 23:33:31,34.9697,-92.3731,2.136181575,130.0,21131.0,AR,427.0,816.1753431,84000005.0,1.466
5,24589.0,24.589,25356,US,2020-04-14,767,6.0,20.36204449,USA,64.66945279,2020-04-14 23:33:31,36.1162,-119.6816,3.0288689069999997,5163.0,202208.0,CA,,515.7233282,84000006.0,24.589
6,7623.0,7.623,7950,US,2020-04-14,327,8.0,18.7798742,USA,140.290495,2020-04-14 23:33:31,39.0598,-105.3111,4.11320755,1493.0,38742.0,CO,,683.6646982999999,84000008.0,7.623
7,13318.0,13.318,13989,US,2020-04-14,671,9.0,12.71713489,USA,392.3667295,2020-04-14 23:33:31,41.5978,-72.7554,4.79662592,1779.0,45841.0,CT,,1285.759043,84000009.0,13.318
8,1883.0,1.883,1926,US,2020-04-14,43,10.0,10.59190031,USA,197.7891974,2020-04-14 23:33:31,39.3185,-75.5071,2.232606438,204.0,12304.0,DE,277.0,1263.550511,84000010.0,1.883
10,1991.0,1.991,2058,US,2020-04-14,67,11.0,14.33430515,USA,291.60508910000004,2020-04-14 23:33:31,38.8974,-77.0268,3.2555879489999997,295.0,11518.0,District of Columbia,518.0,1632.024983,84000011.0,1.991
11,21057.0,21.057,21628,US,2020-04-14,571,12.0,14.14832624,USA,101.8622019,2020-04-14 23:33:31,27.7663,-81.6868,2.640096172,3060.0,203180.0,FL,,956.9244585000001,84000012.0,21.057
12,14053.0,14.053,14578,US,2020-04-14,525,13.0,18.99437509,USA,143.77586509999998,2020-04-14 23:33:31,33.0406,-83.6431,3.6013170530000003,2769.0,61795.0,GA,,609.4546291,84000013.0,14.053
15,502.0,0.502,511,US,2020-04-14,9,15.0,8.610567515,USA,36.09302536,2020-04-14 23:33:31,21.0943,-157.4983,1.7612524459999999,44.0,19420.0,HI,315.0,1371.676228,84000015.0,0.502
16,1431.0,1.431,1464,US,2020-04-14,33,16.0,9.221311475,USA,90.90361547,2020-04-14 23:33:31,44.2405,-114.4788,2.254098361,135.0,15114.0,ID,,938.468063,84000016.0,1.431
17,22380.0,22.38,23248,US,2020-04-14,868,17.0,18.42309016,USA,198.0972,2020-04-14 23:33:31,40.3495,-88.9861,3.7336545080000003,4283.0,110616.0,IL,,942.5636562000001,84000017.0,22.38
18,8140.0,8.14,8527,US,2020-04-14,387,18.0,,USA,130.3026867,2020-04-14 23:33:31,39.8494,-86.2583,4.538524686000001,,46017.0,IN,,703.19441,84000018.0,8.14
19,1850.0,1.85,1899,US,2020-04-14,49,19.0,8.583464982,USA,72.46119663,2020-04-14 23:33:31,42.0115,-93.2105,2.580305424,163.0,18885.0,IA,741.0,720.6054230000001,84000019.0,1.85
20,1372.0,1.372,1441,US,2020-04-14,69,20.0,22.6925746,USA,59.09399595,2020-04-14 23:33:31,38.5266,-96.7265,4.78834143,327.0,14147.0,KS,,580.1545876,84000020.0,1.372
21,1942.0,1.942,2048,US,2020-04-14,106,21.0,32.86132813,USA,59.82526233,2020-04-14 23:33:31,37.6681,-84.6701,5.17578125,673.0,26683.0,KY,629.0,779.4518919,84000021.0,1.942
22,20505.0,20.505,21518,US,2020-04-14,1013,22.0,9.187656845,USA,468.06079960000005,2020-04-14 23:33:31,31.1695,-91.8678,4.7076865880000005,1977.0,118422.0,LA,,2575.922298,84000022.0,20.505
23,715.0,0.715,735,US,2020-04-14,20,23.0,16.870748300000002,USA,62.60615363,2020-04-14 23:33:31,44.6939,-69.3819,2.721088435,124.0,12342.0,ME,292.0,1051.27231,84000023.0,0.715
24,9170.0,9.17,9472,US,2020-04-14,302,24.0,22.4028716,USA,159.371801,2020-04-14 23:33:31,39.0639,-76.8021,3.18834459,2122.0,53733.0,MD,607.0,904.0883612,84000024.0,9.17
